NIT Trichy ,9
NIT Karnataka ,17
NIT Rourkela ,19
NIT Warangal ,21
NIT Calicut ,25
NIT Nagpur ,39
NIT Silchar ,40
NIT Jaipur ,43
NIT Durgapur ,44
NIT Delhi ,45
NIT Patna ,55
NIT Jalandhar ,58
NIT Surat ,59
NIT Allahabad ,60
NIT Meghalaya ,68
NIT Raipur ,71
NIT Bhopal ,72
NIT Srinagar ,79
NIT Kurukshetra ,81
NIT Agartala ,82
NIT Puducherry ,97
NIT Goa ,
NIT Manipur ,
NIT Jamshedpur ,
NIT Hamirpur ,
NIT Uttarakhand ,
NIT Arunachal Pradesh ,
NIT Sikkim ,
NIT Mizoram ,
NIT Nagaland ,
NIT Andhra Pradesh ,
