Round,Institute,Department,Category,Opening Rank,Closing Rank
1,NIT Agartala,Computer Science and Engineering,GEN,102,2859
1,NIT Agartala,Computer Science and Engineering,OBC-NCL,13749,15720
1,NIT Agartala,Computer Science and Engineering,SC,7558,10128
1,NIT Agartala,Computer Science and Engineering,ST,9088,11269
1,NIT Agartala,Computer Science and Engineering,GEN-EWS,5527,6405
1,NIT Agartala,Electronics and Communication Engineering,GEN,14240,15195
1,NIT Agartala,Electronics and Communication Engineering,OBC-NCL,6381,6842
1,NIT Agartala,Electronics and Communication Engineering,SC,723,2041
1,NIT Agartala,Electronics and Communication Engineering,ST,5978,7002
1,NIT Agartala,Electronics and Communication Engineering,GEN-EWS,3520,5036
1,NIT Agartala,Mechanical Engineering,GEN,6523,8705
1,NIT Agartala,Mechanical Engineering,OBC-NCL,10658,12077
1,NIT Agartala,Mechanical Engineering,SC,13068,15871
1,NIT Agartala,Mechanical Engineering,ST,9720,10301
1,NIT Agartala,Mechanical Engineering,GEN-EWS,11626,13672
1,NIT Agartala,Civil Engineering,GEN,4001,6755
1,NIT Agartala,Civil Engineering,OBC-NCL,9264,9662
1,NIT Agartala,Civil Engineering,SC,8992,11680
1,NIT Agartala,Civil Engineering,ST,5626,7506
1,NIT Agartala,Civil Engineering,GEN-EWS,13574,14619
1,NIT Agartala,Electrical Engineering,GEN,782,1868
1,NIT Agartala,Electrical Engineering,OBC-NCL,3132,4949
1,NIT Agartala,Electrical Engineering,SC,7347,8388
1,NIT Agartala,Electrical Engineering,ST,9569,11336
1,NIT Agartala,Electrical Engineering,GEN-EWS,14304,14867
2,NIT Agartala,Computer Science and Engineering,GEN,8024,9269
2,NIT Agartala,Computer Science and Engineering,OBC-NCL,7796,9667
2,NIT Agartala,Computer Science and Engineering,SC,9958,12092
2,NIT Agartala,Computer Science and Engineering,ST,2315,3778
2,NIT Agartala,Computer Science and Engineering,GEN-EWS,9455,10257
2,NIT Agartala,Electronics and Communication Engineering,GEN,14458,16323
2,NIT Agartala,Electronics and Communication Engineering,OBC-NCL,295,2145
2,NIT Agartala,Electronics and Communication Engineering,SC,12976,13302
2,NIT Agartala,Electronics and Communication Engineering,ST,11046,11370
2,NIT Agartala,Electronics and Communication Engineering,GEN-EWS,11915,12298
2,NIT Agartala,Mechanical Engineering,GEN,14473,15972
2,NIT Agartala,Mechanical Engineering,OBC-NCL,2985,5530
2,NIT Agartala,Mechanical Engineering,SC,10606,11705
2,NIT Agartala,Mechanical Engineering,ST,13781,14528
2,NIT Agartala,Mechanical Engineering,GEN-EWS,3414,4435
2,NIT Agartala,Civil Engineering,GEN,10671,11926
2,NIT Agartala,Civil Engineering,OBC-NCL,10803,13112
2,NIT Agartala,Civil Engineering,SC,8785,11395
2,NIT Agartala,Civil Engineering,ST,2203,3754
2,NIT Agartala,Civil Engineering,GEN-EWS,4841,7520
2,NIT Agartala,Electrical Engineering,GEN,12818,13163
2,NIT Agartala,Electrical Engineering,OBC-NCL,2520,3691
2,NIT Agartala,Electrical Engineering,SC,2919,3958
2,NIT Agartala,Electrical Engineering,ST,611,1235
2,NIT Agartala,Electrical Engineering,GEN-EWS,6918,8042
3,NIT Agartala,Computer Science and Engineering,GEN,3039,5746
3,NIT Agartala,Computer Science and Engineering,OBC-NCL,6606,7950
3,NIT Agartala,Computer Science and Engineering,SC,13151,13664
3,NIT Agartala,Computer Science and Engineering,ST,9254,10595
3,NIT Agartala,Computer Science and Engineering,GEN-EWS,6244,6436
3,NIT Agartala,Electronics and Communication Engineering,GEN,13561,15713
3,NIT Agartala,Electronics and Communication Engineering,OBC-NCL,1785,2563
3,NIT Agartala,Electronics and Communication Engineering,SC,5741,7938
3,NIT Agartala,Electronics and Communication Engineering,ST,8867,10919
3,NIT Agartala,Electronics and Communication Engineering,GEN-EWS,14033,15382
3,NIT Agartala,Mechanical Engineering,GEN,4025,5470
3,NIT Agartala,Mechanical Engineering,OBC-NCL,14590,15987
3,NIT Agartala,Mechanical Engineering,SC,14772,16227
3,NIT Agartala,Mechanical Engineering,ST,9476,9850
3,NIT Agartala,Mechanical Engineering,GEN-EWS,10380,13026
3,NIT Agartala,Civil Engineering,GEN,1564,3838
3,NIT Agartala,Civil Engineering,OBC-NCL,6410,6741
3,NIT Agartala,Civil Engineering,SC,6209,7746
3,NIT Agartala,Civil Engineering,ST,7311,8497
3,NIT Agartala,Civil Engineering,GEN-EWS,8466,10327
3,NIT Agartala,Electrical Engineering,GEN,5015,7868
3,NIT Agartala,Electrical Engineering,OBC-NCL,2517,4383
3,NIT Agartala,Electrical Engineering,SC,1189,2662
3,NIT Agartala,Electrical Engineering,ST,14063,14413
3,NIT Agartala,Electrical Engineering,GEN-EWS,8351,11186
4,NIT Agartala,Computer Science and Engineering,GEN,8381,11037
4,NIT Agartala,Computer Science and Engineering,OBC-NCL,10427,12782
4,NIT Agartala,Computer Science and Engineering,SC,4103,6091
4,NIT Agartala,Computer Science and Engineering,ST,10259,11884
4,NIT Agartala,Computer Science and Engineering,GEN-EWS,2351,3312
4,NIT Agartala,Electronics and Communication Engineering,GEN,1133,3138
4,NIT Agartala,Electronics and Communication Engineering,OBC-NCL,12840,14077
4,NIT Agartala,Electronics and Communication Engineering,SC,1248,3573
4,NIT Agartala,Electronics and Communication Engineering,ST,5393,7777
4,NIT Agartala,Electronics and Communication Engineering,GEN-EWS,5759,8452
4,NIT Agartala,Mechanical Engineering,GEN,3318,5737
4,NIT Agartala,Mechanical Engineering,OBC-NCL,2367,4286
4,NIT Agartala,Mechanical Engineering,SC,2705,5281
4,NIT Agartala,Mechanical Engineering,ST,4319,6693
4,NIT Agartala,Mechanical Engineering,GEN-EWS,7540,8922
4,NIT Agartala,Civil Engineering,GEN,11340,11444
4,NIT Agartala,Civil Engineering,OBC-NCL,8920,9891
4,NIT Agartala,Civil Engineering,SC,7765,8510
4,NIT Agartala,Civil Engineering,ST,13664,14049
4,NIT Agartala,Civil Engineering,GEN-EWS,7544,8895
4,NIT Agartala,Electrical Engineering,GEN,7068,8970
4,NIT Agartala,Electrical Engineering,OBC-NCL,8737,8886
4,NIT Agartala,Electrical Engineering,SC,471,2841
4,NIT Agartala,Electrical Engineering,ST,2820,3756
4,NIT Agartala,Electrical Engineering,GEN-EWS,9235,10553
5,NIT Agartala,Computer Science and Engineering,GEN,983,1742
5,NIT Agartala,Computer Science and Engineering,OBC-NCL,6870,9091
5,NIT Agartala,Computer Science and Engineering,SC,1608,4462
5,NIT Agartala,Computer Science and Engineering,ST,4510,6353
5,NIT Agartala,Computer Science and Engineering,GEN-EWS,1415,2885
5,NIT Agartala,Electronics and Communication Engineering,GEN,564,2979
5,NIT Agartala,Electronics and Communication Engineering,OBC-NCL,8207,9626
5,NIT Agartala,Electronics and Communication Engineering,SC,8637,9054
5,NIT Agartala,Electronics and Communication Engineering,ST,14398,16678
5,NIT Agartala,Electronics and Communication Engineering,GEN-EWS,11894,13162
5,NIT Agartala,Mechanical Engineering,GEN,8668,9804
5,NIT Agartala,Mechanical Engineering,OBC-NCL,8472,10992
5,NIT Agartala,Mechanical Engineering,SC,13201,13337
5,NIT Agartala,Mechanical Engineering,ST,10703,11981
5,NIT Agartala,Mechanical Engineering,GEN-EWS,11194,12698
5,NIT Agartala,Civil Engineering,GEN,2728,4176
5,NIT Agartala,Civil Engineering,OBC-NCL,7676,8047
5,NIT Agartala,Civil Engineering,SC,3202,4572
5,NIT Agartala,Civil Engineering,ST,13147,15800
5,NIT Agartala,Civil Engineering,GEN-EWS,2024,3580
5,NIT Agartala,Electrical Engineering,GEN,6096,6783
5,NIT Agartala,Electrical Engineering,OBC-NCL,14005,15371
5,NIT Agartala,Electrical Engineering,SC,8060,10395
5,NIT Agartala,Electrical Engineering,ST,14945,15493
5,NIT Agartala,Electrical Engineering,GEN-EWS,993,1949
6,NIT Agartala,Computer Science and Engineering,GEN,1331,1434
6,NIT Agartala,Computer Science and Engineering,OBC-NCL,14132,15262
6,NIT Agartala,Computer Science and Engineering,SC,5983,8953
6,NIT Agartala,Computer Science and Engineering,ST,162,951
6,NIT Agartala,Computer Science and Engineering,GEN-EWS,5252,6282
6,NIT Agartala,Electronics and Communication Engineering,GEN,1599,1894
6,NIT Agartala,Electronics and Communication Engineering,OBC-NCL,12478,14258
6,NIT Agartala,Electronics and Communication Engineering,SC,7962,9979
6,NIT Agartala,Electronics and Communication Engineering,ST,14517,15693
6,NIT Agartala,Electronics and Communication Engineering,GEN-EWS,6472,7536
6,NIT Agartala,Mechanical Engineering,GEN,232,1123
6,NIT Agartala,Mechanical Engineering,OBC-NCL,9176,11385
6,NIT Agartala,Mechanical Engineering,SC,5017,7950
6,NIT Agartala,Mechanical Engineering,ST,14927,15245
6,NIT Agartala,Mechanical Engineering,GEN-EWS,1289,1655
6,NIT Agartala,Civil Engineering,GEN,3558,6406
6,NIT Agartala,Civil Engineering,OBC-NCL,41,2270
6,NIT Agartala,Civil Engineering,SC,12622,13283
6,NIT Agartala,Civil Engineering,ST,13852,14956
6,NIT Agartala,Civil Engineering,GEN-EWS,7130,8065
6,NIT Agartala,Electrical Engineering,GEN,6958,9595
6,NIT Agartala,Electrical Engineering,OBC-NCL,2422,5378
6,NIT Agartala,Electrical Engineering,SC,1656,3548
6,NIT Agartala,Electrical Engineering,ST,7877,9512
6,NIT Agartala,Electrical Engineering,GEN-EWS,10219,12333
1,NIT Allahabad,Computer Science and Engineering,GEN,5312,8084
1,NIT Allahabad,Computer Science and Engineering,OBC-NCL,12536,13414
1,NIT Allahabad,Computer Science and Engineering,SC,8637,11279
1,NIT Allahabad,Computer Science and Engineering,ST,10145,10777
1,NIT Allahabad,Computer Science and Engineering,GEN-EWS,10759,12212
1,NIT Allahabad,Electronics and Communication Engineering,GEN,5242,6948
1,NIT Allahabad,Electronics and Communication Engineering,OBC-NCL,14223,16960
1,NIT Allahabad,Electronics and Communication Engineering,SC,13251,14399
1,NIT Allahabad,Electronics and Communication Engineering,ST,6302,8381
1,NIT Allahabad,Electronics and Communication Engineering,GEN-EWS,6108,6620
1,NIT Allahabad,Mechanical Engineering,GEN,4948,6090
1,NIT Allahabad,Mechanical Engineering,OBC-NCL,14585,16521
1,NIT Allahabad,Mechanical Engineering,SC,12366,14243
1,NIT Allahabad,Mechanical Engineering,ST,11130,13982
1,NIT Allahabad,Mechanical Engineering,GEN-EWS,4147,6529
1,NIT Allahabad,Civil Engineering,GEN,5561,8039
1,NIT Allahabad,Civil Engineering,OBC-NCL,12234,13898
1,NIT Allahabad,Civil Engineering,SC,9488,9857
1,NIT Allahabad,Civil Engineering,ST,7590,8772
1,NIT Allahabad,Civil Engineering,GEN-EWS,5290,7903
1,NIT Allahabad,Electrical Engineering,GEN,10723,13281
1,NIT Allahabad,Electrical Engineering,OBC-NCL,5258,7659
1,NIT Allahabad,Electrical Engineering,SC,4470,7407
1,NIT Allahabad,Electrical Engineering,ST,12107,12779
1,NIT Allahabad,Electrical Engineering,GEN-EWS,6742,7132
2,NIT Allahabad,Computer Science and Engineering,GEN,1689,4143
2,NIT Allahabad,Computer Science and Engineering,OBC-NCL,10096,12449
2,NIT Allahabad,Computer Science and Engineering,SC,8216,8765
2,NIT Allahabad,Computer Science and Engineering,ST,5824,6535
2,NIT Allahabad,Computer Science and Engineering,GEN-EWS,4832,6055
2,NIT Allahabad,Electronics and Communication Engineering,GEN,1926,3699
2,NIT Allahabad,Electronics and Communication Engineering,OBC-NCL,14445,17205
2,NIT Allahabad,Electronics and Communication Engineering,SC,6413,7255
2,NIT Allahabad,Electronics and Communication Engineering,ST,8569,10022
2,NIT Allahabad,Electronics and Communication Engineering,GEN-EWS,7875,8504
2,NIT Allahabad,Mechanical Engineering,GEN,7393,10179
2,NIT Allahabad,Mechanical Engineering,OBC-NCL,8525,10479
2,NIT Allahabad,Mechanical Engineering,SC,887,1434
2,NIT Allahabad,Mechanical Engineering,ST,3101,4242
2,NIT Allahabad,Mechanical Engineering,GEN-EWS,1871,2978
2,NIT Allahabad,Civil Engineering,GEN,5578,5922
2,NIT Allahabad,Civil Engineering,OBC-NCL,9535,11359
2,NIT Allahabad,Civil Engineering,SC,5389,5785
2,NIT Allahabad,Civil Engineering,ST,10494,12647
2,NIT Allahabad,Civil Engineering,GEN-EWS,12022,14419
2,NIT Allahabad,Electrical Engineering,GEN,3987,5071
2,NIT Allahabad,Electrical Engineering,OBC-NCL,7764,10073
2,NIT Allahabad,Electrical Engineering,SC,12413,13126
