Institute,Department,Category,Round,Opening Rank,Closing Rank
IIT Bhilai,CSE,GEN,1,455,1761
IIT Bhilai,CSE,GEN-EWS,1,534,2120
IIT Bhilai,CSE,OBC-NCL,1,654,2631
IIT Bhilai,CSE,SC,1,1289,2753
IIT Bhilai,CSE,ST,1,1419,2156
IIT Bhilai,ECE,GEN,1,1905,3034
IIT Bhilai,ECE,GEN-EWS,1,2482,3598
IIT Bhilai,ECE,OBC-NCL,1,2879,4540
IIT Bhilai,ECE,SC,1,4993,5647
IIT Bhilai,ECE,ST,1,6095,7142
IIT Bhilai,EE,GEN,1,2910,3505
IIT Bhilai,EE,GEN-EWS,1,3676,5163
IIT Bhilai,EE,OBC-NCL,1,4159,5282
IIT Bhilai,EE,SC,1,7406,9122
IIT Bhilai,EE,ST,1,8918,9892
IIT Bhilai,CE,GEN,1,5020,6292
IIT Bhilai,CE,GEN-EWS,1,6064,7279
IIT Bhilai,CE,OBC-NCL,1,6916,7660
IIT Bhilai,CE,SC,1,12540,14501
IIT Bhilai,CE,ST,1,15033,15708
IIT Bhilai,ME,GEN,1,3994,4906
IIT Bhilai,ME,GEN-EWS,1,4759,5919
IIT Bhilai,ME,OBC-NCL,1,5694,6365
IIT Bhilai,ME,SC,1,10068,11085
IIT Bhilai,ME,ST,1,12056,13429
IIT Bhubaneswar,CSE,GEN,1,501,1585
IIT Bhubaneswar,CSE,GEN-EWS,1,631,1883
IIT Bhubaneswar,CSE,OBC-NCL,1,753,1475
IIT Bhubaneswar,CSE,SC,1,1319,2114
IIT Bhubaneswar,CSE,ST,1,1412,2277
IIT Bhubaneswar,ECE,GEN,1,2081,3435
IIT Bhubaneswar,ECE,GEN-EWS,1,2393,4379
IIT Bhubaneswar,ECE,OBC-NCL,1,2799,4629
IIT Bhubaneswar,ECE,SC,1,5001,5985
IIT Bhubaneswar,ECE,ST,1,6039,6981
IIT Bhubaneswar,EE,GEN,1,3083,3726
IIT Bhubaneswar,EE,GEN-EWS,1,3571,5318
IIT Bhubaneswar,EE,OBC-NCL,1,4269,4918
IIT Bhubaneswar,EE,SC,1,7544,8672
IIT Bhubaneswar,EE,ST,1,8948,10928
IIT Bhubaneswar,CE,GEN,1,4987,6827
IIT Bhubaneswar,CE,GEN-EWS,1,6018,7362
IIT Bhubaneswar,CE,OBC-NCL,1,7086,8796
IIT Bhubaneswar,CE,SC,1,12572,14364
IIT Bhubaneswar,CE,ST,1,15079,15667
IIT Bhubaneswar,ME,GEN,1,3924,4616
IIT Bhubaneswar,ME,GEN-EWS,1,4799,5519
IIT Bhubaneswar,ME,OBC-NCL,1,5502,7156
IIT Bhubaneswar,ME,SC,1,10072,12055
IIT Bhubaneswar,ME,ST,1,11923,12521
IIT Bombay,CSE,GEN,1,534,1178
IIT Bombay,CSE,GEN-EWS,1,514,2238
IIT Bombay,CSE,OBC-NCL,1,700,2481
IIT Bombay,CSE,SC,1,1285,2445
IIT Bombay,CSE,ST,1,1499,3083
IIT Bombay,ECE,GEN,1,2084,3279
IIT Bombay,ECE,GEN-EWS,1,2486,3337
IIT Bombay,ECE,OBC-NCL,1,2825,3449
IIT Bombay,ECE,SC,1,5083,6420
IIT Bombay,ECE,ST,1,5916,6464
IIT Bombay,EE,GEN,1,2908,4000
IIT Bombay,EE,GEN-EWS,1,3657,4472
IIT Bombay,EE,OBC-NCL,1,4209,5893
IIT Bombay,EE,SC,1,7433,8691
IIT Bombay,EE,ST,1,8942,9665
IIT Bombay,CE,GEN,1,4918,6116
IIT Bombay,CE,GEN-EWS,1,5976,6575
IIT Bombay,CE,OBC-NCL,1,6925,7556
IIT Bombay,CE,SC,1,12424,13873
IIT Bombay,CE,ST,1,15050,16308
IIT Bombay,ME,GEN,1,3930,5442
IIT Bombay,ME,GEN-EWS,1,4796,6125
IIT Bombay,ME,OBC-NCL,1,5602,7131
IIT Bombay,ME,SC,1,10049,11368
IIT Bombay,ME,ST,1,11984,13174
IIT Delhi,CSE,GEN,1,459,2315
